hour_sin,hour_cos,sunset_proximity,sunrise_hour_norm,sunset_hour_norm,weather,presence,color_temp,brightness,color_temp_norm,brightness_norm
-0.95445514,0.29835442,1.0,0.27275217,0.7370148,0.25,1.0,3503.8352,74.29673,0.21153559,0.7429673
-0.9369994,0.34933093,1.0,0.25234154,0.8063971,0.0,1.0,3533.8171,70.099045,0.21942559,0.70099044
-0.3918654,-0.92002255,0.0,0.23315525,0.79813594,0.0,1.0,4194.454,59.92511,0.3932774,0.5992511
-0.0070531988,-0.99997514,0.0,0.27781564,0.74538654,1.0,1.0,4210.9634,85.79846,0.39762193,0.85798466
0.77335554,-0.6339725,0.0,0.28963602,0.7563188,0.5,1.0,4818.4795,76.27934,0.5574946,0.7627934
0.6650323,-0.7468146,0.0,0.2433485,0.7849845,0.0,1.0,4816.2944,66.11488,0.55691963,0.6611488
-0.84594893,0.5332639,1.0,0.24718717,0.7860413,0.75,1.0,3520.3674,89.085396,0.21588616,0.89085394
0.9994632,-0.03276058,0.0,0.2732395,0.7942274,0.75,1.0,4780.8335,83.04444,0.5475878,0.8304444
0.8126104,-0.5828073,0.0,0.2586102,0.7762697,0.0,1.0,4804.883,64.49767,0.55391645,0.64497674
-0.77893037,-0.6271104,0.0,0.23109278,0.7655598,0.5,1.0,4194.2607,73.786964,0.39322653,0.7378696
-0.79210025,0.610391,0.7896676,0.24675316,0.7536328,0.0,0.0,2700.0,0.0,0.0,0.0
-0.98091686,-0.19442762,0.4699035,0.27068627,0.76303226,0.5,1.0,4180.142,80.23372,0.3895111,0.80233717
0.9948956,-0.10091007,0.0,0.258034,0.742606,0.0,1.0,4814.4224,65.01874,0.55642694,0.65018743
-0.9990946,-0.042543594,0.5384406,0.24801117,0.78169024,0.25,1.0,3456.5867,66.79561,0.19910175,0.66795605
0.8652258,-0.50138247,0.0,0.27289838,0.7513225,1.0,1.0,4789.312,91.948845,0.549819,0.91948843
-0.99880016,0.048971765,0.44096422,0.2351911,0.8043835,0.25,1.0,4148.18,74.12492,0.3811001,0.74124926
0.20758834,-0.9782163,0.0,0.28270507,0.79237664,0.5,0.0,2700.0,0.0,0.0,0.0
-0.99817395,0.060404897,0.7155885,0.2656728,0.78332055,0.25,1.0,3505.3782,70.44858,0.21194164,0.70448583
0.98289806,-0.18415059,0.0,0.23819943,0.73778355,0.25,1.0,4780.8076,69.46686,0.5475809,0.69466853
-0.5605576,0.8281154,0.0,0.2660989,0.731067,0.5,1.0,3469.5327,65.29379,0.20250858,0.6529379
-0.9420722,0.33541018,0.965423,0.25983584,0.80731887,0.0,1.0,3436.0386,67.99704,0.19369437,0.6799704
0.37333116,-0.92769814,0.0,0.25659862,0.7309677,0.25,1.0,4804.7114,72.84897,0.55387145,0.7284897
0.8114361,-0.5844411,0.0,0.27118167,0.7526028,0.5,0.0,2700.0,0.0,0.0,0.0
-0.9786985,-0.20530285,0.0,0.23590048,0.805501,0.5,1.0,4171.0464,70.72259,0.3871175,0.70722586
-0.782471,-0.622687,0.0,0.2796824,0.7555949,0.25,1.0,4211.5483,67.64736,0.39777592,0.6764736
-0.6605203,-0.7508082,0.0,0.23945466,0.7329092,0.0,1.0,4161.662,58.16159,0.38464788,0.5816159
-0.67716235,0.73583364,0.6896016,0.2850071,0.77240485,0.5,1.0,3506.5815,79.803024,0.21225828,0.79803026
-0.98069537,-0.19554183,0.61166024,0.27584103,0.7510384,0.25,0.0,2700.0,0.0,0.0,0.0
-0.5167223,0.8561531,0.0,0.2811112,0.7419404,0.0,0.0,2700.0,0.0,0.0,0.0
0.6982477,-0.71585625,0.0,0.24144383,0.755027,0.5,1.0,4788.1616,78.46499,0.54951626,0.7846499
-0.61137515,-0.7913409,0.0,0.24352017,0.7401518,0.0,0.0,2700.0,0.0,0.0,0.0
-0.99212116,-0.12528194,0.4289821,0.27255806,0.7775931,0.0,1.0,4189.976,65.1175,0.39209902,0.651175
-0.99910164,0.042378176,0.40339804,0.23690128,0.80646354,0.5,0.0,2700.0,0.0,0.0,0.0
-0.1973569,-0.9803317,0.0,0.27059567,0.80880195,0.25,1.0,4179.1216,66.01824,0.38924256,0.6601824
0.9938857,-0.110413805,0.0,0.23578526,0.74086165,0.5,1.0,4875.5244,77.84235,0.57250637,0.7784234
-0.88287264,-0.46961254,0.0,0.25837803,0.7945636,1.0,1.0,4236.176,85.473404,0.40425673,0.85473406
-0.852601,0.5225625,1.0,0.26233977,0.779668,0.75,0.0,2700.0,0.0,0.0,0.0
-0.7515701,0.65965325,0.800101,0.25255316,0.76465684,0.5,1.0,3447.268,79.36012,0.1966495,0.7936012
-0.4343463,-0.900746,0.0,0.27579257,0.7972141,0.0,0.0,2700.0,0.0,0.0,0.0
0.89222425,-0.45159262,0.0,0.2383025,0.7978887,0.0,1.0,4792.6416,63.519714,0.5506952,0.63519716
